[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	9/16/2022 10:00:24 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:29:17 AM	1	1	NPOC	0.000	0.01597	0.000	 	 	 	*******	0.02766	173.21	0.000	0.00	0	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:31:25 AM	1	2	NPOC	0.04790	0.01597	0.000	 	 	 	*******	0.02766	173.21	0.000	0.00	0	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:33:33 AM	1	3	NPOC	0.000	0.01597	0.000	 	 	 	*******	0.02766	173.21	0.000	0.00	0	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:41:19 AM	2	1	NPOC	5.384	5.322	1.000	 	 	 	*******	0.05685	1.07	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:43:46 AM	2	2	NPOC	5.311	5.322	1.000	 	 	 	*******	0.05685	1.07	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:46:10 AM	2	3	NPOC	5.733	5.322	1.000	 	 	 	*******	0.05685	1.07	0.000	0.00	86	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:48:27 AM	2	4	NPOC	5.272	5.322	1.000	 	 	 	*******	0.05685	1.07	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:56:21 AM	3	1	NPOC	19.64	19.86	5.000	 	 	 	*******	0.2200	1.11	0.000	0.00	87	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 8:59:02 AM	3	2	NPOC	19.86	19.86	5.000	 	 	 	*******	0.2200	1.11	0.000	0.00	87	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_09_13_08_23_17.cal		1.00			9/13/2022 9:01:46 AM	3	3	NPOC	20.67	19.86	5.000	 	 	 	*******	0.2200	1.11	0.000	0.00	87	1	50	1.000	
